Count of PatientID,
Row Labels,Total
382268,382
382269,115
3822046,54
3822077,227
3822084,19
3822102,478
3822108,144
3822163,96
3822164,75
3822201,33
3822204,25
3822241,111
3822263,57
3822264,41
3822268,116
3822280,187
3822286,41
3822317,48
3822333,49
3822355,124
3822364,219
3822416,254
3822432,35
3822438,66
3822453,200
3822530,267
3822536,247
3822546,93
3822599,180
3822611,362
3822646,68
3822663,125
3822668,44
3822670,52
3822740,12
3822762,33
3822763,367
3822767,207
3822794,130
3822871,198
3822986,92
Grand Total,5673